"","Gene.Set","Gene.Set.ID","Gene.Set.Name","Cluster","FDR","Num Cluster Genes","Gene.Set.Size","Total Num Cluster Genes","Num Sig Clusters","All Sig Clusters"
"343","FlyBase Gene Group","FBgg0000487","MITOCHONDRIAL COMPLEX I SUBUNITS","Complex-12",0.000396,7,50,219,2,"Complex-12, LinearDown-6"
"344","DRSC GLAD Gene Group","GLAD:24596","Peroxisomal","Complex-7",0.000411,6,150,66,1,"Complex-7"
"345","REACTOME pathway","R-DME-68949","Orc1 removal from chromatin","LinearUp-1",0.000414,10,66,438,1,"LinearUp-1"
"346","REACTOME pathway","R-DME-8878159","Transcriptional regulation by RUNX3","LinearUp-1",0.000414,10,66,438,1,"LinearUp-1"
"347","FlyBase Gene Group","FBgg0000815","RACEMASES AND EPIMERASES ACTING ON CARBOHYDRATES AND DERIVATIVES","Complex-10",0.000429,3,10,78,1,"Complex-10"
"348","REACTOME pathway","R-DME-77108","Utilization of Ketone Bodies","Complex-2",0.000475,2,3,27,1,"Complex-2"
"349","SLIM2 GO BP","GO:0007005","mitochondrion organization","LinearDown-6",0.000482,39,209,1320,1,"LinearDown-6"
"350","REACTOME pathway","R-DME-449147","Signaling by Interleukins","LinearUp-1",0.000487,13,110,438,1,"LinearUp-1"
"351","REACTOME pathway","R-DME-977443","GABA receptor activation","LinearDown-6",0.000518,10,21,1320,1,"LinearDown-6"
"352","REACTOME pathway","R-DME-9755511","KEAP1-NFE2L2 pathway","LinearUp-1",0.000526,10,68,438,2,"Complex-6, LinearUp-1"
"353","REACTOME pathway","R-DME-193639","p75NTR signals via NF-kB","LinearUp-1",0.00053,4,8,438,2,"Complex-6, LinearUp-1"
"354","REACTOME pathway","R-DME-209560","NF-kB is activated and signals survival","LinearUp-1",0.00053,4,8,438,2,"Complex-6, LinearUp-1"
"355","REACTOME pathway","R-DME-5673001","RAF/MAP kinase cascade","LinearUp-1",0.00053,15,143,438,1,"LinearUp-1"
"356","SLIM2 GO BP","GO:0007399","nervous system development","LinearUp-2",0.000531,59,1112,421,5,"LinearDown-3, LinearDown-4, LinearDown-6, LinearUp-2, LinearUp-5"
"357","REACTOME pathway","R-DME-5684996","MAPK1/MAPK3 signaling","LinearUp-1",0.000568,15,144,438,1,"LinearUp-1"
"358","REACTOME pathway","R-DME-350562","Regulation of ornithine decarboxylase (ODC)","LinearUp-1",0.00057,8,44,438,1,"LinearUp-1"
"359","REACTOME pathway","R-DME-69052","Switching of origins to a post-replicative state","LinearUp-1",0.000577,11,83,438,1,"LinearUp-1"
"360","SLIM2 GO MF","GO:0016491","oxidoreductase activity","Complex-6",0.000634,20,647,149,9,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6"
"361","FlyBase Gene Group","FBgg0000596","BEAT FAMILY","LinearDown-6",0.000649,8,14,1320,1,"LinearDown-6"
"362","REACTOME pathway","R-DME-556833","Metabolism of lipids","Complex-2",0.000654,7,452,27,2,"Complex-2, LinearDown-1"
"363","REACTOME pathway","R-DME-3322077","Glycogen synthesis","Complex-3",7e-04,2,6,21,1,"Complex-3"
"364","REACTOME pathway","R-DME-8878171","Transcriptional regulation by RUNX1","LinearUp-1",0.000711,13,115,438,1,"LinearUp-1"
"365","REACTOME pathway","R-DME-181429","Serotonin Neurotransmitter Release Cycle","LinearDown-4",0.00074,5,15,259,1,"LinearDown-4"
"366","REACTOME pathway","R-DME-375280","Amine ligand-binding receptors","LinearDown-4",0.00074,5,15,259,1,"LinearDown-4"
"367","REACTOME pathway","R-DME-392499","Metabolism of proteins","Complex-6",0.000763,26,978,149,3,"Complex-6, LinearUp-1, LinearUp-7"
"368","SLIM2 GO CC","GO:0005615","extracellular space","LinearUp-5",0.000783,57,630,699,4,"Complex-11, Complex-7, LinearUp-2, LinearUp-5"
"369","REACTOME pathway","R-DME-77285","Beta oxidation of myristoyl-CoA to lauroyl-CoA","Complex-7",0.00079,2,2,66,1,"Complex-7"
"370","DRSC GLAD Gene Group","GLAD:24595","Mitochondrial","LinearDown-1",0.000796,27,973,167,8,"Complex-12, Complex-2, Complex-3, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6"
"371","DRSC GLAD Gene Group","GLAD:24606","Trans-membrane proteins","LinearDown-1",0.000796,66,3474,167,4,"Complex-12, LinearDown-1, LinearDown-4, LinearDown-6"
"372","DRSC GLAD Gene Group","GLAD:24595","Mitochondrial","Complex-9",0.000809,15,973,69,8,"Complex-12, Complex-2, Complex-3, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6"
"373","SLIM2 GO BP","GO:0051186","cofactor metabolic process","Complex-6",0.000858,11,214,149,1,"Complex-6"
"374","FlyBase Gene Group","FBgg0000802","RACEMASES AND EPIMERASES","Complex-10",0.000865,3,13,78,1,"Complex-10"
"375","REACTOME pathway","R-DME-5658442","Regulation of RAS by GAPs","LinearUp-1",9e-04,8,47,438,1,"LinearUp-1"
"376","FlyBase Gene Group","FBgg0000390","CYTOPLASMIC AMINOACYL-TRNA SYNTHETASES","LinearUp-5",0.000925,7,16,699,1,"LinearUp-5"
"377","FlyBase Gene Group","FBgg0001102","UNCLASSIFIED ANTIMICROBIAL PEPTIDES","LinearUp-5",0.000925,5,7,699,1,"LinearUp-5"
"378","REACTOME pathway","R-DME-5683057","MAPK family signaling cascades","LinearUp-1",0.000925,15,151,438,1,"LinearUp-1"
"379","REACTOME pathway","R-DME-71336","Pentose phosphate pathway","Complex-10",0.00094,3,11,78,3,"Complex-10, Complex-2, Complex-6"
"380","FlyBase Gene Group","FBgg0001839","26S PROTEASOME","LinearUp-1",0.000949,8,34,438,1,"LinearUp-1"
"381","DRSC GLAD Gene Group","GLAD:24585","Cytoskeletal","LinearUp-5",0.000957,44,457,699,2,"LinearDown-6, LinearUp-5"
"382","REACTOME pathway","R-DME-425393","Transport of inorganic cations/anions and amino acids/oligopeptides","LinearDown-6",0.00103,21,80,1320,1,"LinearDown-6"
"383","SLIM2 GO BP","GO:0006955","immune response","LinearUp-2",0.00105,22,287,421,3,"LinearUp-2, LinearUp-5, LinearUp-8"
"384","FlyBase Gene Group","FBgg0000923","OXIDOREDUCTASES","Complex-9",0.00107,13,589,69,6,"Complex-10, Complex-2, Complex-3, Complex-6, Complex-9, LinearDown-1"
"385","SLIM2 GO BP","GO:0034613","cellular protein localization","LinearUp-7",0.00109,17,594,130,2,"LinearUp-7, LinearUp-8"
"386","REACTOME pathway","R-DME-204005","COPII-mediated vesicle transport","LinearUp-7",0.0011,6,67,130,1,"LinearUp-7"
"387","FlyBase Gene Group","FBgg0001798","PSEUDOENZYMES","Complex-13",0.00112,7,240,56,1,"Complex-13"
"388","REACTOME pathway","R-DME-425407","SLC-mediated transmembrane transport","Complex-12",0.00114,13,186,219,2,"Complex-12, LinearDown-6"
"389","SLIM2 GO BP","GO:0007623","circadian rhythm","LinearDown-6",0.00118,30,153,1320,3,"Complex-11, LinearDown-4, LinearDown-6"
"390","SLIM2 GO MF","GO:0008092","cytoskeletal protein binding","LinearUp-5",0.00118,34,304,699,2,"LinearDown-6, LinearUp-5"
"391","REACTOME pathway","R-DME-74182","Ketone body metabolism","Complex-2",0.00118,2,6,27,1,"Complex-2"
"392","REACTOME pathway","R-DME-611105","Respiratory electron transport","Complex-12",0.00121,9,93,219,2,"Complex-12, LinearDown-6"
"393","REACTOME pathway","R-DME-6799198","Complex I biogenesis","Complex-12",0.00121,7,51,219,2,"Complex-12, LinearDown-6"
"394","REACTOME pathway","R-DME-5689603","UCH proteinases","LinearUp-1",0.00123,10,76,438,1,"LinearUp-1"
"395","REACTOME pathway","R-DME-381676","Glucagon-like Peptide-1 (GLP1) regulates insulin secretion","LinearDown-4",0.00124,4,9,259,1,"LinearDown-4"
"396","REACTOME pathway","R-DME-422356","Regulation of insulin secretion","LinearDown-4",0.00124,7,43,259,1,"LinearDown-4"
"397","REACTOME pathway","R-DME-6794362","Protein-protein interactions at synapses","LinearDown-6",0.00124,13,37,1320,1,"LinearDown-6"
"398","REACTOME pathway","R-DME-936837","Ion transport by P-type ATPases","LinearDown-6",0.00124,10,23,1320,1,"LinearDown-6"
"399","SLIM2 GO MF","GO:0003677","DNA binding","LinearUp-2",0.00125,51,893,421,2,"LinearUp-2, LinearUp-3"
"400","SLIM2 GO BP","GO:0006281","DNA repair","LinearUp-2",0.00129,16,179,421,2,"LinearUp-2, LinearUp-3"
"401","SLIM2 GO BP","GO:0030154","cell differentiation","LinearUp-2",0.00129,79,1680,421,4,"LinearDown-4, LinearDown-6, LinearUp-2, LinearUp-5"
"402","DRSC GLAD Gene Group","GLAD:24585","Cytoskeletal","LinearDown-6",0.0013,68,457,1320,2,"LinearDown-6, LinearUp-5"
"403","REACTOME pathway","R-DME-1482798","Acyl chain remodeling of CL","Complex-7",0.00131,2,3,66,1,"Complex-7"
"404","REACTOME pathway","R-DME-77289","Mitochondrial Fatty Acid Beta-Oxidation","Complex-7",0.00131,3,16,66,2,"Complex-7, LinearUp-6"
"405","REACTOME pathway","R-DME-77305","Beta oxidation of palmitoyl-CoA to myristoyl-CoA","Complex-7",0.00131,2,3,66,1,"Complex-7"
"406","REACTOME pathway","R-DME-77310","Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA","Complex-7",0.00131,2,3,66,1,"Complex-7"
"407","REACTOME pathway","R-DME-69002","DNA Replication Pre-Initiation","LinearUp-1",0.0014,11,92,438,1,"LinearUp-1"
"408","FlyBase Gene Group","FBgg0001114","ALDEHYDE OR KETONIC GROUP TRANSFERASES","Complex-10",0.00144,2,3,78,1,"Complex-10"
"409","SLIM2 GO BP","GO:0007399","nervous system development","LinearUp-5",0.00145,86,1112,699,5,"LinearDown-3, LinearDown-4, LinearDown-6, LinearUp-2, LinearUp-5"
"410","REACTOME pathway","R-DME-1280215","Cytokine Signaling in Immune system","LinearUp-1",0.00147,14,141,438,1,"LinearUp-1"
"411","REACTOME pathway","R-DME-5610787","Hedgehog 'off' state","LinearUp-1",0.00147,10,78,438,1,"LinearUp-1"
"412","REACTOME pathway","R-DME-8951664","Neddylation","LinearUp-1",0.00147,14,141,438,1,"LinearUp-1"
"413","SLIM2 GO CC","GO:0005634","nucleus","LinearUp-2",0.00153,115,2667,421,3,"LinearUp-2, LinearUp-3, LinearUp-4"
"414","REACTOME pathway","R-DME-212676","Dopamine Neurotransmitter Release Cycle","LinearDown-4",0.00153,5,19,259,2,"LinearDown-4, LinearDown-6"
"415","REACTOME pathway","R-DME-1257604","PIP3 activates AKT signaling","LinearUp-1",0.00157,14,142,438,2,"Complex-6, LinearUp-1"
"416","SLIM2 GO BP","GO:0002520","immune system development","LinearUp-8",0.00159,11,112,328,1,"LinearUp-8"
"417","SLIM2 GO BP","GO:0006399","tRNA metabolic process","LinearUp-8",0.00159,12,132,328,2,"LinearUp-5, LinearUp-8"
"418","SLIM2 GO BP","GO:0034613","cellular protein localization","LinearUp-8",0.00159,31,594,328,2,"LinearUp-7, LinearUp-8"
"419","SLIM2 GO CC","GO:0005768","endosome","LinearUp-5",0.0016,25,215,699,1,"LinearUp-5"
"420","REACTOME pathway","R-DME-69206","G1/S Transition","LinearUp-1",0.00162,11,94,438,1,"LinearUp-1"
"421","REACTOME pathway","R-DME-69620","Cell Cycle Checkpoints","LinearUp-1",0.00166,12,110,438,1,"LinearUp-1"
"422","REACTOME pathway","R-DME-453279","Mitotic G1 phase and G1/S transition","LinearUp-1",0.00177,12,111,438,1,"LinearUp-1"
"423","REACTOME pathway","R-DME-69278","Cell Cycle, Mitotic","LinearUp-1",0.00177,20,254,438,2,"LinearUp-1, LinearUp-3"
"424","REACTOME pathway","R-DME-445989","TAK1-dependent IKK and NF-kappa-B activation","LinearUp-1",0.00181,5,19,438,1,"LinearUp-1"
"425","REACTOME pathway","R-DME-71291","Metabolism of amino acids and derivatives","LinearUp-1",0.00181,17,198,438,5,"Complex-10, Complex-4, Complex-6, Complex-7, LinearUp-1"
"426","FlyBase Gene Group","FBgg0000491","MITOCHONDRIAL COMPLEX V SUBUNITS","LinearDown-6",0.00183,10,24,1320,2,"Complex-12, LinearDown-6"
"427","REACTOME pathway","R-DME-71403","Citric acid cycle (TCA cycle)","LinearDown-6",0.00183,10,24,1320,1,"LinearDown-6"
"428","FlyBase Gene Group","FBgg0000505","CHAPERONIN CONTAINING TCP-1 COMPLEX","LinearUp-5",0.00184,5,8,699,2,"LinearUp-5, LinearUp-7"
"429","FlyBase Gene Group","FBgg0001103","CHITIN DEACETYLASE-LIKE FAMILY","Complex-12",0.00185,3,6,219,1,"Complex-12"
"430","SLIM2 GO BP","GO:0030154","cell differentiation","LinearDown-4",0.00198,53,1680,259,4,"LinearDown-4, LinearDown-6, LinearUp-2, LinearUp-5"
"431","FlyBase Gene Group","FBgg0001761","SMALL NUCLEOLAR RIBONUCLEOPROTEIN COMPLEXES","LinearUp-4",0.00199,3,8,119,1,"LinearUp-4"
"432","SLIM2 GO BP","GO:0042254","ribosome biogenesis","LinearUp-6",0.00201,9,206,115,4,"LinearUp-1, LinearUp-2, LinearUp-4, LinearUp-6"
"433","REACTOME pathway","R-DME-264642","Acetylcholine Neurotransmitter Release Cycle","LinearDown-6",0.00203,8,16,1320,1,"LinearDown-6"
"434","REACTOME pathway","R-DME-9707564","Cytoprotection by HMOX1","LinearDown-6",0.00203,14,44,1320,1,"LinearDown-6"
"435","REACTOME pathway","R-DME-209406","Degradation of NF-kappa-B inhibitor, CACT","LinearUp-1",0.00204,7,41,438,1,"LinearUp-1"
"436","REACTOME pathway","R-DME-8982491","Glycogen metabolism","Complex-3",0.00204,2,11,21,1,"Complex-3"
"437","SLIM2 GO BP","GO:0006520","cellular amino acid metabolic process","Complex-10",0.00206,7,185,78,4,"Complex-10, Complex-6, Complex-7, Complex-9"
"438","FlyBase Gene Group","FBgg0000589","ION CHANNELS BY CONDUCTANCE","LinearDown-6",0.00208,38,199,1320,1,"LinearDown-6"
"439","SLIM2 GO MF","GO:0048018","receptor ligand activity","Complex-11",0.00212,6,95,97,1,"Complex-11"
"440","REACTOME pathway","R-DME-351202","Metabolism of polyamines","LinearUp-1",0.00212,8,54,438,1,"LinearUp-1"
"441","FlyBase Gene Group","FBgg0000922","CH-OH GROUP OXIDOREDUCTASES","Complex-2",0.00215,4,127,27,5,"Complex-10, Complex-2, Complex-3, Complex-7, LinearDown-1"
"442","FlyBase Gene Group","FBgg0000924","CH-OH OXIDOREDUCTASES, NAD OR NADP AS ACCEPTOR","Complex-2",0.00215,4,106,27,4,"Complex-10, Complex-2, Complex-7, LinearDown-1"
"443","FlyBase Gene Group","FBgg0001715","ENZYMES","Complex-2",0.00215,17,3610,27,8,"Complex-10, Complex-2, Complex-3, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearUp-2"
"444","SLIM2 GO MF","GO:0022857","transmembrane transporter activity","Complex-12",0.00217,25,690,219,2,"Complex-12, LinearDown-6"
"445","REACTOME pathway","R-DME-168256","Immune System","LinearUp-1",0.0022,47,856,438,2,"LinearUp-1, LinearUp-2"
"446","FlyBase Gene Group","FBgg0001849","MITOCHONDRIAL COMPLEX V","Complex-12",0.00221,4,16,219,2,"Complex-12, LinearDown-6"
"447","FlyBase Gene Group","FBgg0000964","NEPRILYSIN-LIKE METALLOENDOPEPTIDASES","LinearUp-1",0.0023,6,20,438,1,"LinearUp-1"
"448","REACTOME pathway","R-DME-195721","Signaling by WNT","LinearUp-1",0.00234,14,149,438,1,"LinearUp-1"
"449","REACTOME pathway","R-DME-5358351","Signaling by Hedgehog","LinearUp-1",0.00234,11,99,438,1,"LinearUp-1"
"450","REACTOME pathway","R-DME-77350","Beta oxidation of hexanoyl-CoA to butanoyl-CoA","Complex-7",0.00235,2,4,66,1,"Complex-7"
"451","FlyBase Gene Group","FBgg0000179","NEUROPEPTIDES","Complex-11",0.00239,5,45,97,1,"Complex-11"
"452","DRSC GLAD Gene Group","GLAD:24602","Secreted proteins","Complex-12",0.00244,23,671,219,3,"Complex-12, Complex-7, LinearUp-5"
"453","SLIM2 GO CC","GO:0005615","extracellular space","Complex-11",0.00253,14,630,97,4,"Complex-11, Complex-7, LinearUp-2, LinearUp-5"
"454","FlyBase Gene Group","FBgg0001358","ACID CARBON-CARBON HYDROLASES","Complex-10",0.00255,2,4,78,1,"Complex-10"
"455","REACTOME pathway","R-DME-163754","Insulin effects increased synthesis of Xylulose-5-Phosphate","Complex-10",0.00256,2,3,78,1,"Complex-10"
"456","REACTOME pathway","R-DME-1834949","Cytosolic sensors of pathogen-associated DNA","LinearUp-1",0.00285,5,21,438,1,"LinearUp-1"
"457","SLIM2 GO MF","GO:0016491","oxidoreductase activity","Complex-9",0.00294,12,647,69,9,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6"
"458","FlyBase Gene Group","FBgg0000497","HEAT SHOCK PROTEIN 70 CHAPERONES","LinearUp-7",0.00308,3,12,130,1,"LinearUp-7"
"459","FlyBase Gene Group","FBgg0000821","PROTEIN DISULFIDE ISOMERASES","LinearUp-7",0.00308,3,12,130,1,"LinearUp-7"
"460","SLIM2 GO BP","GO:0007166","cell surface receptor signaling pathway","LinearUp-2",0.00309,37,656,421,4,"LinearDown-4, LinearDown-6, LinearUp-2, LinearUp-5"
"461","FlyBase Gene Group","FBgg0000073","VACUOLAR ATPASE V1 DOMAIN SUBUNITS","LinearDown-6",0.00313,7,13,1320,1,"LinearDown-6"
"462","FlyBase Gene Group","FBgg0000105","CADHERINS","LinearDown-6",0.00313,8,17,1320,1,"LinearDown-6"
"463","FlyBase Gene Group","FBgg0000556","GABA-GATED CHLORIDE CHANNEL SUBUNITS","LinearDown-6",0.00313,4,4,1320,1,"LinearDown-6"
"464","SLIM2 GO BP","GO:0007166","cell surface receptor signaling pathway","LinearDown-4",0.00322,26,656,259,4,"LinearDown-4, LinearDown-6, LinearUp-2, LinearUp-5"
"465","SLIM2 GO BP","GO:0009605","response to external stimulus","LinearDown-4",0.00322,35,995,259,5,"Complex-11, LinearDown-4, LinearDown-6, LinearUp-2, LinearUp-5"
"466","SLIM2 GO BP","GO:0070647","protein modification by small protein conjugation or removal","LinearDown-5",0.00328,23,286,421,1,"LinearDown-5"
"467","SLIM2 GO CC","GO:0031012","extracellular matrix","LinearDown-6",0.00331,37,219,1320,2,"Complex-12, LinearDown-6"
"468","REACTOME pathway","R-DME-350379","Homo-/heterophilic binding of transmembrane components","LinearDown-6",0.00331,4,4,1320,1,"LinearDown-6"
"469","SLIM2 GO BP","GO:0000902","cell morphogenesis","LinearUp-5",0.00333,49,569,699,5,"LinearDown-3, LinearDown-4, LinearDown-6, LinearUp-2, LinearUp-5"
"470","SLIM2 GO BP","GO:0048870","cell motility","LinearUp-5",0.00333,34,351,699,1,"LinearUp-5"
"471","REACTOME pathway","R-DME-163210","Formation of ATP by chemiosmotic coupling","Complex-12",0.00334,4,15,219,2,"Complex-12, LinearDown-6"
"472","REACTOME pathway","R-DME-8949613","Cristae formation","Complex-12",0.00334,4,15,219,2,"Complex-12, LinearDown-6"
"473","REACTOME pathway","R-DME-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","LinearUp-7",0.00335,6,84,130,1,"LinearUp-7"
"474","REACTOME pathway","R-DME-8957275","Post-translational protein phosphorylation","LinearUp-7",0.00335,6,84,130,1,"LinearUp-7"
"475","REACTOME pathway","R-DME-71336","Pentose phosphate pathway","Complex-2",0.00345,2,11,27,3,"Complex-10, Complex-2, Complex-6"
"476","REACTOME pathway","R-DME-76002","Platelet activation, signaling and aggregation","LinearDown-6",0.00345,36,190,1320,1,"LinearDown-6"
"477","SLIM2 GO BP","GO:0061061","muscle structure development","LinearUp-5",0.00362,25,232,699,1,"LinearUp-5"
"478","REACTOME pathway","R-DME-4755510","SUMOylation of immune response proteins","LinearUp-1",0.00372,3,6,438,1,"LinearUp-1"
"479","REACTOME pathway","R-DME-5689877","Josephin domain DUBs","LinearUp-1",0.00372,3,6,438,2,"Complex-6, LinearUp-1"
"480","REACTOME pathway","R-DME-163685","Integration of energy metabolism","LinearDown-4",0.00377,7,53,259,1,"LinearDown-4"
"481","REACTOME pathway","R-DME-1640170","Cell Cycle","LinearUp-1",0.00386,20,272,438,2,"LinearUp-1, LinearUp-3"
"482","FlyBase Gene Group","FBgg0000545","ABCB ATP-BINDING CASSETTE TRANSPORTER SUBFAMILY","Complex-12",0.0039,3,8,219,1,"Complex-12"
"483","FlyBase Gene Group","FBgg0001182","UNCLASSIFIED CUTICLE PROTEINS","Complex-12",0.0039,3,8,219,1,"Complex-12"
"484","REACTOME pathway","R-DME-209449","Toll pathway","LinearUp-1",0.00391,7,46,438,1,"LinearUp-1"
"485","SLIM2 GO BP","GO:0000902","cell morphogenesis","LinearDown-6",0.00405,79,569,1320,5,"LinearDown-3, LinearDown-4, LinearDown-6, LinearUp-2, LinearUp-5"
"486","SLIM2 GO BP","GO:0061024","membrane organization","LinearDown-6",0.00405,38,225,1320,1,"LinearDown-6"
"487","DRSC GLAD Gene Group","GLAD:24598","Proteasome","LinearUp-1",0.00406,8,53,438,1,"LinearUp-1"
"488","FlyBase Gene Group","FBgg0001559","VACUOLAR ATPASE V1 DOMAIN NON-CATALYTIC SUBUNITS","LinearDown-6",0.00407,6,10,1320,1,"LinearDown-6"
"489","FlyBase Gene Group","FBgg0001850","MITOCHONDRIAL COMPLEX III","LinearDown-6",0.00407,6,10,1320,1,"LinearDown-6"
"490","FlyBase Gene Group","FBgg0001302","HYDROLASES","LinearUp-5",0.00419,102,1331,699,1,"LinearUp-5"
"491","FlyBase Gene Group","FBgg0001805","PSEUDO-CHITIN DEACETYLASES","Complex-12",0.00422,2,2,219,1,"Complex-12"
"492","REACTOME pathway","R-DME-8866654","E3 ubiquitin ligases ubiquitinate target proteins","LinearUp-1",0.00429,5,23,438,1,"LinearUp-1"
"493","SLIM2 GO BP","GO:0007166","cell surface receptor signaling pathway","LinearUp-5",0.00432,54,656,699,4,"LinearDown-4, LinearDown-6, LinearUp-2, LinearUp-5"
"494","REACTOME pathway","R-DME-4086398","Ca2+ pathway","LinearDown-6",0.00436,9,22,1320,1,"LinearDown-6"
"495","SLIM2 GO BP","GO:0002181","cytoplasmic translation","LinearUp-2",0.00439,12,128,421,3,"Complex-6, LinearUp-1, LinearUp-2"
"496","SLIM2 GO BP","GO:0007389","pattern specification process","LinearUp-2",0.00439,30,508,421,3,"LinearDown-4, LinearUp-2, LinearUp-5"
"497","SLIM2 GO BP","GO:0010256","endomembrane system organization","LinearUp-7",0.00442,8,176,130,1,"LinearUp-7"
"498","FlyBase Gene Group","FBgg0001222","CYTOCHROME P450","Complex-9",0.00451,5,84,69,2,"Complex-9, LinearUp-1"
"499","REACTOME pathway","R-DME-1430728","Metabolism","Complex-9",0.00457,18,1212,69,11,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-4, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6, LinearUp-1"
"500","REACTOME pathway","R-DME-425407","SLC-mediated transmembrane transport","LinearDown-6",0.00462,35,186,1320,2,"Complex-12, LinearDown-6"
"501","REACTOME pathway","R-DME-69239","Synthesis of DNA","LinearUp-1",0.00465,11,108,438,1,"LinearUp-1"
"502","SLIM2 GO BP","GO:0042221","response to chemical","LinearUp-2",0.00473,56,1159,421,5,"LinearDown-3, LinearDown-4, LinearDown-6, LinearUp-2, LinearUp-5"
"503","REACTOME pathway","R-DME-9006925","Intracellular signaling by second messengers","LinearUp-1",0.00476,14,161,438,1,"LinearUp-1"
"504","FlyBase Gene Group","FBgg0000709","P-TYPE ATPASES","LinearDown-6",0.00479,7,14,1320,1,"LinearDown-6"
"505","SLIM2 GO CC","GO:0030054","cell junction","LinearUp-5",0.00489,19,160,699,1,"LinearUp-5"
"506","FlyBase Gene Group","FBgg0001101","ANTIMICROBIAL PEPTIDES","LinearUp-8",0.0049,6,23,328,2,"LinearUp-5, LinearUp-8"
"507","REACTOME pathway","R-DME-209461","Ubiquitination and degradation of phosphorylated ARM","LinearUp-1",0.00493,7,48,438,1,"LinearUp-1"
"508","SLIM2 GO BP","GO:0030036","actin cytoskeleton organization","LinearDown-6",0.00509,45,285,1320,3,"LinearDown-6, LinearUp-2, LinearUp-5"
"509","SLIM2 GO BP","GO:0030705","cytoskeleton-dependent intracellular transport","LinearDown-6",0.00509,18,83,1320,1,"LinearDown-6"
"510","REACTOME pathway","R-DME-166208","mTORC1-mediated signalling","LinearUp-1",0.00511,5,24,438,1,"LinearUp-1"
"511","REACTOME pathway","R-DME-418597","G alpha (z) signalling events","LinearDown-6",0.00513,7,14,1320,1,"LinearDown-6"
"512","REACTOME pathway","R-DME-71336","Pentose phosphate pathway","Complex-6",0.00515,3,11,149,3,"Complex-10, Complex-2, Complex-6"
"513","REACTOME pathway","R-DME-6785807","Interleukin-4 and Interleukin-13 signaling","LinearUp-7",0.00523,2,3,130,1,"LinearUp-7"
"514","DRSC GLAD Gene Group","GLAD:24606","Trans-membrane proteins","Complex-12",0.00532,77,3474,219,4,"Complex-12, LinearDown-1, LinearDown-4, LinearDown-6"
"515","SLIM2 GO MF","GO:0030246","carbohydrate binding","Complex-10",0.00547,5,113,78,1,"Complex-10"
"516","REACTOME pathway","R-DME-538864","Degradation of CRY","LinearUp-1",0.00549,6,36,438,2,"Complex-6, LinearUp-1"
"517","FlyBase Gene Group","FBgg0001646","RNA POLYMERASES","LinearUp-4",0.0055,4,30,119,1,"LinearUp-4"
"518","SLIM2 GO MF","GO:0038023","signaling receptor activity","LinearDown-4",0.00553,20,408,259,2,"LinearDown-4, LinearDown-6"
"519","FlyBase Gene Group","FBgg0000175","ODORANT BINDING PROTEINS","LinearDown-1",0.00556,6,47,167,1,"LinearDown-1"
"520","SLIM2 GO BP","GO:0006457","protein folding","Complex-14",0.00565,6,118,84,2,"Complex-14, LinearUp-7"
"521","FlyBase Gene Group","FBgg0001590","DEAD-BOX RNA HELICASES","LinearUp-4",0.00569,4,32,119,1,"LinearUp-4"
"522","REACTOME pathway","R-DME-209400","Transcriptional activtion by phosphorylated DL/DIF dimer","LinearUp-1",0.00569,2,2,438,1,"LinearUp-1"
"523","REACTOME pathway","R-DME-422475","Axon guidance","LinearDown-6",0.00579,30,153,1320,1,"LinearDown-6"
"524","REACTOME pathway","R-DME-437239","Recycling pathway of L1","LinearDown-6",0.00579,9,23,1320,1,"LinearDown-6"
"525","REACTOME pathway","R-DME-168928","DDX58/IFIH1-mediated induction of interferon-alpha/beta","LinearUp-1",0.00583,3,7,438,1,"LinearUp-1"
"526","REACTOME pathway","R-DME-933542","TRAF6 mediated NF-kB activation","LinearUp-1",0.00583,3,7,438,1,"LinearUp-1"
"527","SLIM2 GO BP","GO:0000902","cell morphogenesis","LinearUp-2",0.00585,32,569,421,5,"LinearDown-3, LinearDown-4, LinearDown-6, LinearUp-2, LinearUp-5"
"528","REACTOME pathway","R-DME-209441","WG ligand not bound to FZ receptors","LinearUp-1",0.00604,7,50,438,1,"LinearUp-1"
"529","FlyBase Gene Group","FBgg0000133","OCTOPAMINE RECEPTORS","LinearDown-4",0.00605,3,6,259,1,"LinearDown-4"
"530","FlyBase Gene Group","FBgg0000512","POTASSIUM CHANNEL SUBUNITS","LinearDown-4",0.00605,5,27,259,2,"LinearDown-4, LinearDown-6"
"531","REACTOME pathway","R-DME-532668","N-glycan trimming in the ER and Calnexin/Calreticulin cycle","LinearUp-1",0.00605,4,15,438,2,"LinearUp-1, LinearUp-7"
"532","DRSC GLAD Gene Group","GLAD:24599","Receptors","LinearDown-4",0.00618,24,588,259,2,"LinearDown-4, LinearDown-6"
